s037,0,0,0.08854,0.13149,0.04537,0.06172,0.13228,0.06920,0.05801,0.06428,0.00549,0.06523,0.23179,0.16638,0.06599,0.30948,0.24499,0.08064,0.15627,0.07693,0.08752,0.12382,0.03682,0.08344,0.10533,0.02217,0.07998,0.08317,0.00494,0.09664,0.24207,0.14306,0.05740
s037,0,0,0.10307,0.11036,0.00719,0.07038,0.16733,0.09685,0.04964,0.05220,0.00214,0.09075,0.24656,0.15704,0.06892,0.31099,0.24507,0.09461,0.15936,0.06885,0.08805,0.13177,0.04634,0.10447,0.09087,-0.01499,0.07041,0.14892,0.07955,0.11497,0.24374,0.13388,0.10265
s037,0,0,0.11145,0.16752,0.05345,0.07453,0.16334,0.09057,0.04769,0.06234,0.01512,0.07604,0.27176,0.20248,0.08629,0.33869,0.25210,0.06191,0.22879,0.16383,0.09142,0.07899,-0.01266,0.11644,0.13264,0.01713,0.07934,0.15548,0.08029,0.08434,0.19051,0.10241,0.11069
s016,0,0,0.10291,0.47803,0.37945,0.05861,0.17337,0.11738,0.08486,0.26076,0.18112,0.09233,1.15916,1.06336,0.04886,0.83186,0.76816,0.10009,0.24677,0.14080,0.09792,0.22754,0.12713,0.12549,0.35756,0.23224,0.09350,0.30300,0.21571,0.10290,0.35774,0.25519,0.11759
s016,0,0,0.11119,0.14898,0.03806,0.09671,0.11396,0.01773,0.07871,0.12204,0.04121,0.08882,0.68619,0.58033,0.06976,0.35435,0.28159,0.08277,0.08640,0.00446,0.08133,0.11785,0.03874,0.11528,0.09464,-0.01978,0.09317,0.06870,-0.02618,0.14376,0.58933,0.44653,0.09013
s016,0,0,0.09758,0.30778,0.20828,0.06603,0.14572,0.07888,0.07935,0.16308,0.08587,0.09798,0.53615,0.43365,0.10482,1.11169,1.01151,0.10518,0.22490,0.11436,0.08971,0.15386,0.06397,0.09674,0.10702,0.00855,0.08666,0.18966,0.10333,0.11192,0.70227,0.57914,0.10485
s024,0,0,0.11783,0.12301,0.00436,0.08270,0.08634,0.00578,0.09715,0.07252,-0.02320,0.15679,0.12689,-0.02875,0.09289,0.26706,0.17167,0.11942,0.22879,0.10770,0.08133,0.13262,0.05192,0.10847,0.08031,-0.02863,0.11887,0.11118,-0.00553,0.09854,0.18048,0.08331,0.06054
s024,0,0,0.07830,0.29996,0.22618,0.08091,0.14923,0.06972,0.06435,0.09063,0.02566,0.09014,0.17965,0.09060,0.07657,0.29212,0.22158,0.08685,0.16955,0.07953,0.09069,0.12834,0.03545,0.08968,0.09952,0.01054,0.09097,0.14207,0.05184,0.12898,0.29164,0.16661,0.07906
s024,0,0,0.07119,0.14982,0.07992,0.05073,0.15948,0.11046,0.05109,0.14772,0.09502,0.05360,0.45161,0.38458,0.04731,0.31524,0.27362,0.04686,0.26660,0.22395,0.04331,0.14863,0.10591,0.07885,0.09905,0.02138,0.05617,0.20304,0.14533,0.04874,0.20299,0.15840,0.04741
s017,0,0,0.06841,0.18660,0.11827,0.07762,0.13320,0.05757,0.08447,0.08600,0.00139,0.09156,0.21178,0.12190,0.10562,0.31416,0.20746,0.10969,0.16677,0.05854,0.08878,0.09914,0.01005,0.11018,0.10291,-0.00922,0.13499,0.09761,-0.04245,0.09967,0.20916,0.10772,0.08102
s017,0,0,0.06825,0.15656,0.08470,0.05986,0.08730,0.02588,0.04722,0.10731,0.06115,0.07072,0.21176,0.13565,0.05492,0.35248,0.29094,0.04461,0.17666,0.13043,0.06262,0.10381,0.04153,0.07076,0.08213,0.00938,0.05152,0.13075,0.08413,0.07271,0.17789,0.10683,0.06828
s017,0,0,0.13957,0.19951,0.06398,0.10592,0.18306,0.07680,0.15428,0.17202,0.01544,0.10361,0.24938,0.14492,0.08327,0.53499,0.44569,0.15153,0.33091,0.17835,0.13666,0.18494,0.04836,0.16218,0.15392,-0.00829,0.15058,0.20289,0.05289,0.12228,0.19883,0.07313,0.13447
s015,0,0,0.06069,0.11590,0.05736,0.07235,0.07220,0.00109,0.08718,0.04735,-0.03957,0.06542,0.16328,0.09965,0.07277,0.22885,0.15497,0.07007,0.14458,0.07311,0.07387,0.10453,0.03001,0.09280,0.07965,-0.01170,0.06833,0.08490,0.01520,0.08334,0.17861,0.09344,0.06473
s015,0,0,0.07527,0.09192,0.01500,0.10808,0.10267,-0.00320,0.06176,0.04413,-0.01693,0.11033,0.21129,0.10559,0.07984,0.23621,0.15597,0.07867,0.10741,0.03093,0.08957,0.12040,0.02698,0.11425,0.06887,-0.04490,0.07585,0.08285,0.00648,0.07347,0.17013,0.10236,0.05334
s015,0,0,0.08910,0.08907,-0.00119,0.08120,0.14860,0.06929,0.06737,0.06281,-0.00569,0.07980,0.22449,0.14313,0.09530,0.30385,0.20219,0.08890,0.14949,0.06059,0.07757,0.13892,0.06141,0.10225,0.08355,-0.01876,0.08662,0.15093,0.06155,0.10414,0.19031,0.08722,0.13247
s056,0,0,0.07994,0.10733,0.02676,0.09078,0.12316,0.03227,0.10608,0.07425,-0.03255,0.06183,0.14830,0.08541,0.12005,0.25948,0.14685,0.10330,0.12810,0.02261,0.10447,0.10209,-0.00131,0.09948,0.09733,0.00112,0.04441,0.14103,0.09740,0.10485,0.11571,0.00953,0.12548
s056,0,0,0.10749,0.06320,-0.04660,0.09166,0.21828,0.13130,0.10191,0.08143,-0.02209,0.10287,0.49287,0.38670,0.06213,0.34136,0.27729,0.09177,0.15971,0.06907,0.09866,0.12368,0.02395,0.09991,0.09612,-0.00396,0.10148,0.14303,0.04185,0.14025,0.21565,0.07939,0.12437
